action_tool_name,state,reform_category,Action_or_Tool,action_tool_type,description,data_announced_passed,effective_date,project_type,implementation,relevant_urls,executive_orders_leg,EO_Leg_ID
Promoting Government Accountability in Permitting,Washington,"Shift Culture,Promote Certainty in Permitting Process",Action,Regulatory Change,"WA Chapter 235, 2026 Laws (Concerning Permit Review Processes) clarifies deadlines that local governments, special purpose districts and public utilities districts and other government agencies are subject to, with refunds as penalties if deadlines are not met. It also changes the requirements for approving permitting applications to be procedural rather than substantive.
",2026-03-27,2026-06-11,Housing and Other Building Construction,Fully Implemented,"https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/House%20Passed%20Legislature/2418-S2.PL.pdf?q=20260610113517

",rec9alHAz9A0ACAem,"Chapter 235, 2026 Laws"
Permitting Decision Keys,Virginia,"Promote Certainty in Permitting Process,Set Projects up for Success",Tool,Written Resource,"These step-by-step guides help users understand how DEQ makes decisions related to permits, funding, and other approval processes. By walking through key questions, users can identify what types of approvals, registrations, or funding opportunities may apply to their activities or projects. While the keys cover most scenarios, some situations may require direct assistance or coordination with DEQ.
",,2024-06-02,General,Fully Implemented,"https://www.deq.virginia.gov/business-construction/decision-keys
",,
Streamlining Wireless Telecommunications Permitting Processes ,Colorado,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process",Action,Regulatory Change,"HB25-1056: 
- Sets deemed-approval timelines: 90 days for collocation/small cell applications; 150 days for all other wireless facility applications
- Application is deemed approved if local government fails to act within timeframe after required notice
- Requires local governments to identify application incompleteness within 30 days
- Allows tolling for information requests; mutual agreement extensions permitted
- Prohibits local governments from unreasonably withholding or delaying wireless permits
- Permits removal/replacement of equipment that is not a substantial change without new permits
- Allows up to 45-day tolling if reviewing affordable housing, renewable energy, or government projects simultaneously
",2025-06-04,2025-06-04,Other,Fully Implemented,"https://leg.colorado.gov/bills/hb25-1056

",recZn5IfHffkNRhS6,"HB25-1056 - Local Government Permitting Wireless
Telecommunications Facilities"
Maryland OneStop Portal,Maryland,"Set Projects up for Success,Promote Certainty in Permitting Process",Tool,Dashboard/Portal,"The **Maryland OneStop portal** (onestop.md.gov) is the central digital hub for Maryland state government, designed to allow users to apply for, renew, and manage licenses, permits, registrations, and forms across various state agencies. It acts as a single point of entry intended to modernize, streamline, and centralize paper-based processes.
",,,General,Fully Implemented,"https://onestop.md.gov/
",,
Appointing Authorities for Approval of Plats,Florida,Change Decision-Making Level,Action,Regulatory Change,"Florida Chapter 2025-164 requires local governments to review, process, and approve plats or replat submittals through an administrative authority and official designated by ordinance without further action or approval by the governing body.
In Florida law, a “plat” is a representation of the subdivision of lands.
",2025-06-20,2025-07-01,Housing and Other Building Construction,Fully Implemented,"https://www.flsenate.gov/Session/Bill/2025/784/BillText/er/PDF

",recjq5FTxs5dbBM6H,Chapter 2025-164
Creating a Permitting Fast-track Program for Priority Housing Projects,,,,,,,,,,,,
Establishing the Office of Performance Management and Innovation,New York,Shift Culture,Action,Reorganization or Creation of New Government Offices,"In 2026, Governor Hochul established a new office to optimize how state agencies work and collaborate, with a special focus on using technology to improve service delivery.
",,,General,Fully Implemented,"https://www.governor.ny.gov/news/let-them-build-governor-hochul-unveils-landmark-reforms-cut-red-tape-and-build-more-housing
",,
Reviewing Permitting Processes to Identify Improvements,Arkansas,"Utilize Data and Technology,Promote Certainty in Permitting Process",Action,Other,"EO 26-04 orders all cabinet-level state agencies and state boards or commissions that issue permits to perform a comprehensive review of their processes relating to permits, licenses, certifications, or other  regulatory approvals to identify opportunities to improve such processes. The Executive Order also encourages the usage of technology such as AI and online dashboards or portals. State bodies must compile their findings in a ""Improvement Plan"" to the Office of the Governor that specifies: 
- Specific process improvements;
- Any legislative changes needed to implement recommendations;
- Any rule changes needed to implement recommendations;
- A timeline for implementation; and
- Performance metrics such as average turnaround time.
",2026-02-16,2026-02-16,General,Fully Implemented,"https://governor.arkansas.gov/executive\_orders/sanders-signs-executive-order-to-speed-permitting-for-economic-development-projects/
",rechxjMuL9c3nkzEd,"EO 26-04 - EXECUTIVE ORDER TO MAKE ARKANSAS THE BEST STATE IN AMERICA TO DO BUSINESS THROUGH STREAMLINED, CLEAR, AND EXPEDITIOUS PERMITTING PROCESSES THAT PROTECT NATURAL RESOURCES AND FOSTER ECONOMIC DEVELOPMENT"
Eliminating State Ban on New Nuclear Energy,Illinois,Promote Certainty in Permitting Process,Action,Regulatory Change,"The Clean and Reliable Grid Affordability Act ended a 40-year prohibition on the construction of new, large-scale nuclear reactors over 300 megawatts.
",2026-01-08,2026-06-01,Clean Energy,Not Started,"https://gov-pritzker-newsroom.prezly.com/gov-pritzker-signs-historic-clean-and-reliable-grid-affordability-act
",rec2hVZa0dG87UdLk,"SB0025, 104th General Assembly - Clean and Reliable Grid Affordability Act"
Providing State Resources to Facilitate Local Energy Project Siting,Colorado,Set Projects up for Success,Action,Applicant Support,"SB24-212 directs state agencies to produce and provide resources that facilitate local energy projects. Resources refer to technical support, template codes and ordinances, a comprehensive report on local permitting and siting processes, research on protected wildlife habitats and environments for developers to avoid, and the creation of additional tribal consultation requirements. 
--

SB24-212 helps communities assess, site, and permit utility-scale renewable energy. Colorado Parks and Wildlife is directed to publish maps of habitats vulnerable to renewable development and to update best management practices for projects in those areas. In the Brunot Treaty area, local governments must consult with Tribal Nations whose hunting, fishing, and gathering rights are tied to those lands.
To support local capacity, the bill directs the Colorado Energy Office to build a model regulations repository that communities can draw from, and tasks the Colorado Energy and Carbon Management Commission with providing technical assistance to governments updating land use codes or reviewing specific projects.
",2024-05-21,2024-05-21,Clean Energy,Fully Implemented,"https://leg.colorado.gov/bills/sb24-212
",rec7WHp8V1EEkIeSI,SB24-212 - Local Govs Renewable Energy Projects
Providing Additional Permit Denial Information ,Georgia,Promote Certainty in Permitting Process,Action,Regulatory Change,"SB 447 Act requires that denials to land disturbance or building permits be issued in writing with citations to applicable law or code, and that local governments publish clear criteria for what constitutes a complete application.
",2026-05-11,2026-07-01,"Housing and Other Building Construction,Other",Not Started,"https://legiscan.com/GA/bill/SB447/2025
",rec22UfF89usYwyVy,GA SB447 | 2025-2026
Creating Faster Permitting Processes,Vermont,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process",Action,Regulatory Change,"- (1) Agencies must halve discretionary permit review timelines for qualifying housing projects.
- (2) Permits are automatically deemed approved if agencies miss statutory or regulatory deadlines.
- (3) All agencies must prioritize housing permit applications above all other applications.
- (4) Concurrent permit processing is required across agencies.
- (8) Monthly reporting metrics to the Governor on permit processing times.
",2025-09-17,2025-09-17,Housing and Other Building Construction,Fully Implemented,"https://governor.vermont.gov/sites/scott/files/documents/EO%2006-25%20Promoting%20Housing%20Construction%20and%20Rehabilitation.pdf
",recQ1VRGhF28Ncahj,EO 06-25
Establishing Surface Mine Reclamation Permit Fees,Washington,Benefits for Nature/Communities,Action,Regulatory Change,"WA Chapter 326, 2025 Laws (Establishing Surface Mine Reclamation Permit Fees) updates the permit fee structure for surface mine reclamation to increase the funding into the surface mining reclamation program account. It increases the fees paid for revisions of reclamation units and has reduced rates for public works project mines under seven disturbed acres.
",2025-05-17,2025-07-27,Mining and Critical Minerals,Fully Implemented,"https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/Senate%20Passed%20Legislature/5319.PL.pdf

",recSnTgPA37ciClJp,"Chapter 326, 2025 Laws"
Streamlining the conversion of commercial buildings to residential,Connecticut,"Change Decision-Making Level,Consolidate or Eliminate Steps",Action,Regulatory Change,"Under a 2025 law, commercial building with high vacancy rates (50%+) can undergo a ""summary review"" for conversion to residential, prohibiting extensive public hearings. Projects must still meet local building/fire codes.

Planning and zoning commissions must act within 65 days of receiving the application, with potential for, though not mandatory, expedited, non-discretionary review.
",2025-11-26,2026-01-01,Housing and Other Building Construction,Unknown,"https://www.taxcreditadvisor.com/articles/connecticut-2026-housing-reforms/

https://ctmirror.org/2025/11/26/hb-8002-housing-bill-lamont-law/

",recSbNKbk0BtBTuPv,HB 8002
Removing the Private-Law Barrier of Homeowners Association Covenants for Internal Accessory Dwelling Unit (ADU) Siting without Requiring a Zoning Change or Permit Approval.,Idaho,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Change Decision-Making Level",Action,Regulatory Change,"Chapter 265 (2023 laws) made it illegal for homeowner associations to ban accessory dwelling units (ADUs) so long as the ADU was physically attached to an owner-occupied home.
",2023-04-03,2023-04-03,Housing and Other Building Construction,Fully Implemented,"https://legislature.idaho.gov/sessioninfo/2023/legislation/h0166/
",recapjfG4ewOhr0yh,Chapter 265 (2023 laws)
Establishing a Host Community Benefit Program,New York,Benefits for Nature/Communities,Action,Other,"New York’s **Host Community Benefit Program **guarantees that residents in municipalities hosting large-scale (25 MW or larger) renewable energy facilities receive direct annual credits on their electric utility bills for the first 10 years of the project's operation. 

The program is supported by renewable energy developers pay annual fees that fund utility bill credits for residential customers in host communities.
",,,Clean Energy,Fully Implemented,"https://www.nyserda.ny.gov/All-Programs/Clean-Energy-Siting-Resources/Siting-for-Large-Scale-Renewables/Office-of-Renewable-Energy-Siting
",,
Establishing a Permitting Concierge Service,Connecticut,"Set Projects up for Success,Shift Culture",Action,,"The flagship **Client Concierge Service** celebrated its fifth anniversary in April 2025 as DEEP's ""front door"" for complex permitting assistance. The service provides extra assistance to projects that are either complex or viewed as priority to agency and state leadership. These projects are particularly challenging**00% participant satisfaction** in better understanding DEEP's permitting process, with **85% rating the experience as ""good"" or ""excellent""** and 15% neutral—no negative ratings.

 Testimonials praised the service as ""best-in-class experience...should be a best management tool across all different AHJs/State agencies"" and noted DEEP as the ""first [agency] that provides this service...truly interested in protecting the environment while helping with progress.""

In 2024 alone, the Concierge Team assisted **129 applicants** through pre-application meetings, saving participants an average of **four months** compared to projects proceeding without Concierge assistance.
",,,,,"https://portal.ct.gov/deep/news-releases/news-releases---2025/deeps-client-concierge-service-celebrates-five-years-of-excellence
",,
Preventing Conditionality on Approval of Building or Plumbing Permits,Florida,Shift Culture,Action,Regulatory Change,"Florida Chapter 2026-62 prohibits a municipality from requiring an onsite sewage treatment and disposal system (OSTDS) construction permit as a condition for a single-family residence building permit. If proof is provided that the OSTDS construction permit has been applied for, the building permit may be issued.
",2026-05-06,2026-07-01,Housing and Other Building Construction,Not Started,"https://www.flsenate.gov/Session/Bill/2026/589/BillText/er/PDF
",rechffj0QFD4ZLEuh,Chapter 2026-62
Enforcing Minimum Lot Sizes for Residential Development,Maine,"Consolidate or Eliminate Steps,Change Decision-Making Level,Promote Certainty in Permitting Process",Action,Regulatory Change,"Chapter 385 (Public Laws, 2025) lowered the maximum lot size municipalities may require for residential development to 5,000 square feet in areas served by public water and sewer, and increased the number of dwelling units municipalities must allow per lot from two to three, and four in designated growth areas or lots with public water and sewer.
",2025-06-26,2025-09-24,Housing and Other Building Construction,Partially Implemented,"https://legislature.maine.gov/legis/bills/display\_ps.asp?LD=1829&snum=132
",reczJBRZItO96J2NO,"Chapter 385 (Public Laws, 2025)"
Adjusting Standards and Rules,Vermont,"Consolidate or Eliminate Steps,Shift Culture",Action,Regulatory Change,"- (5) Permit fees may be reduced or deferred.
- (6) Wetland buffer zones in growth areas reduced from 50 feet to 25 feet for Class II wetlands.
- (7) Builders may choose between 2020 or 2024 Residential Building Energy Standards.
",2025-09-17,2025-09-17,"Housing and Other Building Construction,Water",Fully Implemented,"https://governor.vermont.gov/sites/scott/files/documents/EO%2006-25%20Promoting%20Housing%20Construction%20and%20Rehabilitation.pdf
",recQ1VRGhF28Ncahj,EO 06-25
Prioritizing Permit Review and Related Clean Energy Project Approvals,Washington,"Shift Culture,Set Projects up for Success",Action,"Reorganization or Creation of New Government Offices,Regulatory Change","WA EO 25-11 (Prioritize and Expedite Clean Energy Permit Reviews) forms the Joint Clean Energy Acceleration Team (JCEAT) that identifies and addresses barriers to planned projects’ ability to qualify for federal clean energy tax credits. Agencies outlined in this order are directed to prioritize the review of applications of any solar or wind energy project identified by the JCEAT. The Energy Facility Site Evaluation Council is  also directed to expedite the review of any actions required to begin construction of projects and the Utilities And Transportation Commission is directed to expedite the review of any new or pending request for proposals to procure clean energy resources potentially eligible for tax credits.
",2025-12-16,2025-12-16,Clean Energy,Fully Implemented,"https://www.commerce.wa.gov/energy-policy/accelerating-and-supporting-clean-energy-projects/
",recSoJbnPJojWNFDe,EO 25-11
Virginia Permitting Transparancy,Virginia,"Utilize Data and Technology,Shift Culture,Promote Certainty in Permitting Process",Tool,Dashboard/Portal,"This First-in-the-nation government-wide tracking platform, launched under Governor Youngkin, allows the public (and government) to track the status of all pending permit applications online.
",2024-10-22,2024-03-04,General,Fully Implemented,"https://permits.virginia.gov/
",recoz5AXvcfkUPJ7w,EO 39 (2024)
Evaluating Barriers to Grid Interconnection Processes for Clean Energy Projects,Oregon,"Promote Certainty in Permitting Process,Utilize Data and Technology,Set Projects up for Success",Action,"Written Resource,Applicant Support","Prior to Executive Order 25-29, no state agency held a formal charge to systematically document interconnection barriers across permitting, construction, and grid queue processes in Oregon. The EO directed Oregon Department of Energy to assess obstacles preventing large-scale clean energy projects from completing interconnection, including lengthy utility queue studies, misaligned federal and state review timelines, and unclear cost allocation for grid upgrades. ODOE opened a public comment period in early 2026 drawing input from developers, utilities, tribes, and local governments; Public Utilities Commission simultaneously integrated EO 25-29 priorities into interconnection docket Utility Miscellaneous 2417. The resulting report, due September 1, 2026, does not itself modify any rule or process but is intended to provide a stakeholder-validated baseline for agency and legislative action in 2027.
",2025-11-18,2025-11-18,"Clean Energy,General",Partially Implemented,"https://www.oregon.gov/gov/eo/eo-25-29.pdf 
http://apps.puc.state.or.us/edockets/docket.asp?DocketID=24859 

",recVBQQt39oEBWpC4,EO 25-29
Prohibiting local governments from requiring a zone change or conditional use permit for affordable housing on eligible sites within urban growth boundaries.,Oregon,"Consolidate or Eliminate Steps,Set Projects up for Success,Promote Certainty in Permitting Process,Change Decision-Making Level",Action,Regulatory Change,"Prior to Chapter 385 Laws (2021), affordable housing development on non-residentially zoned land within urban growth boundaries required a zone change or conditional use permit, a discretionary local approval process with variable timelines and outcomes. Chapter 385 Laws (2021) eliminated that requirement by statute for qualifying projects, converting a discretionary local decision into a ministerial one governed by statewide standards. The bill also extended this protection to land owned by religious corporations. All 56 affected jurisdictions had complied by end of 2022; subsequent amendments in 2023 and 2024 expanded its application further.
",2021-06-23,2022-01-01,"Housing and Other Building Construction,General",Fully Implemented,"https://olis.oregonlegislature.gov/liz/2021r1/Measures/Overview/SB8

",recwE2Xx1rgDvTGPr,"Chapter 385, 2021 Laws"
Online Building Permit System,Wisconsin,"Utilize Data and Technology,Promote Certainty in Permitting Process",Tool,Dashboard/Portal,"The Online Building Permit System was developed by the DSPS to allow municipalities to gain compliance with [2015 Act 211](https://docs.legis.wisconsin.gov/2015/related/acts/211). Not all municipalities utilize the Online Building Permit System. 
",,,"General,Housing and Other Building Construction",Fully Implemented,"https://esla.wi.gov/apex/customer\_portal\_intro\_page
",,
KY EEC Online eForms Permitting Portal,Kentucky,"Utilize Data and Technology,Promote Certainty in Permitting Process",Tool,Dashboard/Portal,"Kentucky's Energy and Environment Cabinet (EEC) electronic submittals, including permits and registrations, are handled through the [Kentucky EEC eForms Portal](https://dep.gateway.ky.gov/eForms). The system streamlines the permitting and compliance process, allowing you to submit forms, track application status, and view pending or completed tasks online. [[1](https://eec.ky.gov/Environmental-Protection/Pages/services.aspx), [2](https://dep.gateway.ky.gov/eForms), [3](https://dep.gateway.ky.gov/eportal/)]
",,,"General,Clean Energy,Ecological Restoration,Water,Mining and Critical Minerals",Fully Implemented,"https://eec.ky.gov/Environmental-Protection/Pages/services.aspx
",,
Permitting Enhancement and Evaluation Platform (PEEP),Virginia,"Utilize Data and Technology,Shift Culture,Promote Certainty in Permitting Process",Tool,Permit Cataloging/Mapping,"DEQ's Permitting Tracking Platform (and a precursor to the state-wide VPT platform). PEEP provides public schedules and tracking information for every environmental permit (and at a greater level of detail than VPT).

As a result of the dashboard, the department says it has sped up processing times by 65%.
",,2023-01-09,General,Fully Implemented,"https://www.policyinnovation.org/insights/vas-peep-is-a-gold-star-example-of-permit-efficiency

https://portal.deq.virginia.gov/peep-search
",,
Establishing streamlined process for ecological restoration projects,Massachusetts,Consolidate or Eliminate Steps,Action,Regulatory Change,"Simplifies the permitting process for qualifying ecological restoration projects.	
",,,Ecological Restoration,Fully Implemented,"https://www.mass.gov/info-details/streamlined-process-for-ecological-restoration-projects
",,
"Requiring ""by-right"" multifamily zoning in communities served by the Massachusetts Bay Transportation Authority",Massachusetts,"Consolidate or Eliminate Steps,Change Decision-Making Level",Action,Regulatory Change,"Requires communities served by MBTA adopt zoning ordinances that allow for at least one multifamily district with a minimum required gross density of 15 units per acre.
",,,Housing and Other Building Construction,Fully Implemented,"https://www.mass.gov/info-details/multi-family-zoning-requirement-for-mbta-communities
",,
Reducing voting threshold required to approve changes to zoning ordinances,Massachusetts,Change Decision-Making Level,Action,Regulatory Change,"Previously, two-thirds of a local city council or town had to support changes to zoning ordinances. Legislation in 2020 now allows changes to be implemented with a simple majority.
",,,Housing and Other Building Construction,Fully Implemented,"https://www.mass.gov/info-details/voting-threshold-guidance
",,
Standardizing Compatibility Requirements for Development Permits,Florida,"Shift Culture,Promote Certainty in Permitting Process",Action,Regulatory Change,"Florida Chapter 2026-7 standardizes development permit applications and compatibility considerations. It requires the amount charged for a development permit application be related to the cost of giving a final disposition of the application; requires local governments' development regulations to include methods to assess compatibility of allowable residential uses ; requires that a denial of a development permit on incompatibility grounds specify each area of incompatibility and allows local governments' to issue development permits contingent on incompatibility mitigation measurements.
",2026-03-27,2026-07-01,Housing and Other Building Construction,Not Started,"https://www.flsenate.gov/Session/Bill/2026/399/BillText/er/PDF
",recQqBMX5a3VvKnVt,Chapter 2026-7
Strengthening Requirements for First Home Investment Zones ,Utah,"Shift Culture,Set Projects up for Success,Promote Certainty in Permitting Process",Action,Regulatory Change,"The First Home Investment Zone program, which is a legislative initiative enacted by S.B. 268 to combat Utah's housing affordability crisis, was created in a prior session. Chapter 440, (2035 laws) tightens its parameters. The core change is numerical, and density, affordability, and owner-occupancy thresholds are specified in statute for the first time.
The practical effect is to make zone qualification more predictable for municipalities and developers while reducing the risk of zones being proposed that do not deliver the intended housing outcomes.
",2025-03-26,2025-05-07,Housing and Other Building Construction,Fully Implemented,"https://le.utah.gov/~2025/bills/static/SB0023.html
",recK8USRKf2lGxMWY,"Chapter 440, 2025"
Restricting Issuance of Water Use Permits to Data Centers,Florida,Promote Certainty in Permitting Process,Action,Regulatory Change,"Florida Chapter 2026-65 provides that  a water management district (WMD) or the Department of Environmental Protection (DEP) may not grant a Consumptive Use Permit (CUP) to a large-scale data center if the proposed use of the water is harmful to the water resources of the area or is prohibited by the applicable local government. It also provides that the WMD or DEP may require the large-scale data center to use some portion of reclaimed water, in lieu of surface or groundwater in some cases, and prohibits large-scale data center CUP application approvals without a hearing 
Consumptive use is any use of water which reduces the supply from which it is withdrawn or diverted. A CUP establishes the duration and type of water use as well as the maximum quantity of water that may be withdrawn.
",2026-05-07,2026-07-01,"Data Centers,Water",Not Started,"https://www.flsenate.gov/Session/Bill/2026/484/BillText/er/PDF

",recx7G710BGQczexY,Chapter 2026-65
Requiring Guideline Transparency for the Coastal Area Management Act,North Carolina,Promote Certainty in Permitting Process,Action,Written Resource,"**Add New Procedural Requirements for Coastal Area Management Act (CAMA) Guidelines**

The NC Chamber is aware of potential “verbal or unwritten” policy guidelines in the CAMA program. This section would require that CAMA post all guidelines on their website and increase transparency in the CAMA permitting process for the business community in coastal North Carolina.

",2023-10-10,,"Water,Other",,"https://ncchamber.com/2023/09/26/nc-legislature-passes-regulatory-reform-act-of-2023-with-bipartisan-support/

",recHwyaHc4NuT7srW,HB 600
